IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.228.140.197,8443,443,true,ARN,Europe,Stockholm,260,6.11
34.34.25.62,443,443,true,FRA,Europe,Frankfurt,176,6.10
34.65.189.135,443,443,true,FRA,Europe,Frankfurt,245,6.09
34.65.24.103,443,443,true,FRA,Europe,Frankfurt,237,6.07
34.65.56.107,443,443,true,FRA,Europe,Frankfurt,176,6.05
34.65.85.72,443,443,true,FRA,Europe,Frankfurt,183,6.04
34.65.241.180,443,443,true,FRA,Europe,Frankfurt,235,6.04
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,227,5.98
34.65.249.244,443,443,true,FRA,Europe,Frankfurt,189,5.97
34.65.81.138,443,443,true,FRA,Europe,Frankfurt,229,5.85
34.116.156.226,443,443,true,AMS,Europe,Amsterdam,246,5.84
34.65.194.209,443,443,true,FRA,Europe,Frankfurt,188,5.84
34.90.69.28,443,443,true,FRA,Europe,Frankfurt,248,5.80
34.65.56.107,443,443,true,FRA,Europe,Frankfurt,193,5.66
34.65.81.222,443,443,true,FRA,Europe,Frankfurt,186,5.65
34.118.77.243,443,443,true,AMS,Europe,Amsterdam,240,5.64
34.154.106.127,443,443,true,AMS,Europe,Amsterdam,231,5.64
34.65.212.101,443,443,true,AMS,Europe,Amsterdam,203,5.63
35.246.182.103,443,443,true,FRA,Europe,Frankfurt,232,5.62
34.65.137.19,443,443,true,FRA,Europe,Frankfurt,246,5.59
34.118.113.53,443,443,true,FRA,Europe,Frankfurt,284,5.57
34.90.69.28,443,443,true,FRA,Europe,Frankfurt,208,5.55
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,248,5.55
34.65.238.241,443,443,true,AMS,Europe,Amsterdam,265,5.53
34.32.227.212,443,443,true,AMS,Europe,Amsterdam,165,5.52
34.65.42.175,443,443,true,FRA,Europe,Frankfurt,238,5.52
34.65.158.174,443,443,true,FRA,Europe,Frankfurt,191,5.50
34.65.78.221,443,443,true,FRA,Europe,Frankfurt,180,5.50
34.91.199.167,443,443,true,AMS,Europe,Amsterdam,175,5.50
34.32.174.17,443,443,true,FRA,Europe,Frankfurt,175,5.49
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,255,5.47
34.147.33.140,443,443,true,FRA,Europe,Frankfurt,248,5.44
35.234.86.218,443,443,true,FRA,Europe,Frankfurt,202,5.44
35.234.95.210,443,443,true,FRA,Europe,Frankfurt,154,5.42
34.118.127.11,443,443,true,FRA,Europe,Frankfurt,260,5.42
34.65.43.26,443,443,true,FRA,Europe,Frankfurt,187,5.41
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,177,5.40
34.90.41.188,443,443,true,FRA,Europe,Frankfurt,229,5.38
34.89.241.45,443,443,true,CDG,Europe,Paris,210,5.35
34.118.111.34,443,443,true,FRA,Europe,Frankfurt,213,5.34
34.65.78.221,443,443,true,FRA,Europe,Frankfurt,208,5.33
34.147.231.33,443,443,true,LHR,Europe,London,173,5.32
34.65.65.7,443,443,true,FRA,Europe,Frankfurt,199,5.31
34.116.195.145,443,443,true,FRA,Europe,Frankfurt,177,5.29
34.159.148.27,443,443,true,FRA,Europe,Frankfurt,157,5.25
34.32.233.205,443,443,true,FRA,Europe,Frankfurt,258,5.21
34.65.238.241,443,443,true,FRA,Europe,Frankfurt,241,5.18
34.90.69.28,443,443,true,FRA,Europe,Frankfurt,176,5.17
34.65.252.68,443,443,true,FRA,Europe,Frankfurt,166,5.17
35.204.93.142,443,443,true,FRA,Europe,Frankfurt,223,5.16
34.65.229.213,443,443,true,FRA,Europe,Frankfurt,238,5.15
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,206,5.14
34.154.172.26,443,443,true,FRA,Europe,Frankfurt,202,5.13
34.89.241.21,443,443,true,FRA,Europe,Frankfurt,167,5.12
34.159.105.87,443,443,true,FRA,Europe,Frankfurt,222,5.07
34.32.206.100,443,443,true,FRA,Europe,Frankfurt,237,5.05
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,274,5.00
34.118.23.103,443,443,true,FRA,Europe,Frankfurt,223,4.98
34.159.243.157,443,443,true,FRA,Europe,Frankfurt,209,4.97
35.246.165.79,443,443,true,FRA,Europe,Frankfurt,269,4.95
34.105.140.105,443,443,true,LHR,Europe,London,170,4.90
34.32.174.237,443,443,true,FRA,Europe,Frankfurt,220,4.89
