IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.35.195,8080,8080,false,NRT,Asia Pacific,Tokyo,72,11.53
132.145.120.118,2087,2087,true,NRT,Asia Pacific,Tokyo,88,11.53
84.235.175.224,443,443,true,FRA,Europe,Frankfurt,189,11.53
151.145.71.127,2053,2053,true,NRT,Asia Pacific,Tokyo,109,11.53
132.145.120.182,8080,8080,false,NRT,Asia Pacific,Tokyo,74,11.53
140.238.54.166,2053,2053,true,NRT,Asia Pacific,Tokyo,78,11.53
131.186.37.191,2082,2082,false,NRT,Asia Pacific,Tokyo,69,11.53
141.147.167.40,2083,2083,true,NRT,Asia Pacific,Tokyo,82,11.52
141.148.247.198,443,443,true,FRA,Europe,Frankfurt,190,11.52
130.162.243.222,443,443,true,FRA,Europe,Frankfurt,161,11.51
141.144.236.123,443,443,true,FRA,Europe,Frankfurt,178,11.51
168.138.217.146,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.51
168.138.206.109,8880,8880,false,NRT,Asia Pacific,Tokyo,71,11.51
131.186.62.26,2052,2052,false,NRT,Asia Pacific,Tokyo,71,11.51
140.238.46.138,2083,2083,true,NRT,Asia Pacific,Tokyo,97,11.51
158.101.144.34,2052,2052,false,NRT,Asia Pacific,Tokyo,76,11.50
158.101.150.74,2095,2095,false,NRT,Asia Pacific,Tokyo,70,11.50
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,191,11.49
158.101.94.15,8443,8443,true,NRT,Asia Pacific,Tokyo,84,11.49
158.101.140.255,2053,2053,true,NRT,Asia Pacific,Tokyo,114,11.49
168.138.211.217,2086,2086,false,NRT,Asia Pacific,Tokyo,88,11.49
140.238.33.165,2052,2052,false,NRT,Asia Pacific,Tokyo,71,11.49
138.3.212.226,80,80,false,NRT,Asia Pacific,Tokyo,70,11.48
158.101.159.212,2052,2052,false,NRT,Asia Pacific,Tokyo,71,11.48
138.3.222.204,2082,2082,false,NRT,Asia Pacific,Tokyo,75,11.47
140.238.53.190,2086,2086,false,NRT,Asia Pacific,Tokyo,70,11.46
144.24.163.62,443,443,true,FRA,Europe,Frankfurt,222,11.46
140.238.50.32,80,80,false,NRT,Asia Pacific,Tokyo,94,11.45
144.24.188.81,443,443,true,FRA,Europe,Frankfurt,175,11.45
140.238.34.208,2086,2086,false,NRT,Asia Pacific,Tokyo,74,11.45
140.238.54.182,2096,2096,true,NRT,Asia Pacific,Tokyo,97,11.45
158.101.89.33,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.44
158.101.146.165,80,80,false,NRT,Asia Pacific,Tokyo,76,11.44
132.145.124.198,2087,2087,true,NRT,Asia Pacific,Tokyo,83,11.44
150.230.105.179,2053,0,true,NRT,Asia Pacific,Tokyo,100,11.44
141.148.239.160,443,443,true,FRA,Europe,Frankfurt,203,11.43
132.145.123.143,2082,2082,false,NRT,Asia Pacific,Tokyo,82,11.43
158.101.154.70,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.43
131.186.47.223,8443,8443,true,NRT,Asia Pacific,Tokyo,71,11.43
144.24.85.158,80,80,false,ICN,Asia Pacific,Seoul,74,11.42
158.101.142.103,8880,8880,false,NRT,Asia Pacific,Tokyo,73,11.42
140.238.61.224,2095,2095,false,NRT,Asia Pacific,Tokyo,71,11.42
158.101.81.4,8880,8880,false,NRT,Asia Pacific,Tokyo,86,11.42
151.145.69.174,2082,2082,false,NRT,Asia Pacific,Tokyo,74,11.41
132.145.121.34,2053,2053,true,NRT,Asia Pacific,Tokyo,132,11.41
158.101.158.251,2082,2082,false,NRT,Asia Pacific,Tokyo,83,11.41
151.145.68.166,2086,2086,false,NRT,Asia Pacific,Tokyo,71,11.41
168.138.205.38,80,80,false,NRT,Asia Pacific,Tokyo,75,11.41
141.147.191.211,2087,2087,true,NRT,Asia Pacific,Tokyo,90,11.40
132.145.123.112,2083,2083,true,NRT,Asia Pacific,Tokyo,73,11.40
138.3.217.39,8880,8880,false,NRT,Asia Pacific,Tokyo,73,11.39
140.238.39.21,8080,8080,false,NRT,Asia Pacific,Tokyo,70,11.39
140.238.50.32,2053,2053,true,NRT,Asia Pacific,Tokyo,70,11.39
131.186.41.255,8080,8080,false,NRT,Asia Pacific,Tokyo,74,11.37
158.101.149.81,8080,8080,false,NRT,Asia Pacific,Tokyo,76,11.36
140.238.36.248,80,80,false,NRT,Asia Pacific,Tokyo,84,11.36
168.138.211.217,8080,8080,false,NRT,Asia Pacific,Tokyo,85,11.35
141.147.167.44,2083,2083,true,NRT,Asia Pacific,Tokyo,83,11.35
158.101.146.165,2095,2095,false,NRT,Asia Pacific,Tokyo,76,11.35
140.238.38.245,2096,2096,true,NRT,Asia Pacific,Tokyo,92,11.35
158.101.155.246,2087,2087,true,NRT,Asia Pacific,Tokyo,121,11.35
143.47.181.55,443,443,true,FRA,Europe,Frankfurt,198,11.35
141.148.237.146,443,443,true,FRA,Europe,Frankfurt,172,11.34
138.3.222.204,8080,8080,false,NRT,Asia Pacific,Tokyo,80,11.34
158.101.95.113,8080,8080,false,NRT,Asia Pacific,Tokyo,71,11.33
138.3.217.39,2052,2052,false,NRT,Asia Pacific,Tokyo,89,11.33
140.238.41.167,2095,2095,false,NRT,Asia Pacific,Tokyo,74,11.33
158.101.155.246,8080,8080,false,NRT,Asia Pacific,Tokyo,79,11.32
140.238.39.33,2082,2082,false,NRT,Asia Pacific,Tokyo,74,11.32
141.147.191.132,2083,2083,true,NRT,Asia Pacific,Tokyo,91,11.32
132.145.120.197,2086,2086,false,NRT,Asia Pacific,Tokyo,80,11.31
158.101.155.115,2052,2052,false,NRT,Asia Pacific,Tokyo,82,11.31
168.138.212.40,2052,2052,false,NRT,Asia Pacific,Tokyo,78,11.31
132.145.120.118,2053,2053,true,NRT,Asia Pacific,Tokyo,126,11.31
132.145.112.247,2053,2053,true,NRT,Asia Pacific,Tokyo,120,11.31
